[2026-03-22T15:34:15.292Z] GET http://localhost:5173/src/pages/PatientView.tsx → 304 (2ms, ?B)
[2026-03-22T15:34:15.292Z] GET http://localhost:5173/src/pages/Login.tsx → 304 (2ms, ?B)
[2026-03-22T15:34:15.292Z] GET http://localhost:5173/src/pages/AdminDashboard.tsx → 304 (2ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/components/Logo.tsx → 304 (1ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/components/SlotGrid.tsx → 304 (1ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/components/BookingModal.tsx → 304 (2ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/components/BottomSheet.tsx → 304 (3ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/components/WeekStrip.tsx → 304 (2ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/lib/api.ts → 304 (2ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/lib/date.ts → 304 (3ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/components/SlotForm.tsx → 304 (3ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/components/StatusBadge.tsx → 304 (3ms, ?B)
[2026-03-22T15:34:15.294Z] GET http://localhost:5173/src/components/DashboardTab.tsx → 304 (3ms, ?B)
[2026-03-22T15:34:15.295Z] GET http://localhost:5173/src/components/SessionManagementModal.tsx → 304 (3ms, ?B)
[2026-03-22T15:34:15.295Z] GET http://localhost:5173/src/components/RecurringManagementModal.tsx → 304 (3ms, ?B)
[2026-03-22T15:34:15.296Z] GET http://localhost:5173/src/components/SlotChip.tsx → 304 (2ms, ?B)
[2026-03-22T15:34:15.326Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (5ms, ?B)
[2026-03-22T15:34:15.326Z] GET http://localhost:5173/api/contact → 500 (5ms, ?B)
[2026-03-22T15:34:15.326Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (5ms, ?B)
[2026-03-22T15:34:15.326Z] GET http://localhost:5173/api/contact → 500 (5ms, ?B)
[2026-03-22T15:43:57.154Z] GET http://localhost:5173/src/pages/PatientView.tsx?t=1774194237145 → 200 (69ms, 155563B)
[2026-03-22T15:43:57.154Z] GET http://localhost:5173/src/index.css?t=1774194237145 → 200 (98ms, 41361B)
[2026-03-22T15:43:57.259Z] GET http://localhost:5173/src/App.tsx?t=1774194237145 → 200 (7ms, 10965B)
[2026-03-22T15:43:57.288Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (3ms, ?B)
[2026-03-22T15:43:57.288Z] GET http://localhost:5173/api/contact → 500 (4ms, ?B)
[2026-03-22T15:44:00.702Z] GET http://localhost:5173/src/pages/PatientView.tsx?t=1774194240699 → 200 (81ms, 155805B)
[2026-03-22T15:44:00.702Z] GET http://localhost:5173/src/index.css?t=1774194240699 → 200 (72ms, 41361B)
[2026-03-22T15:44:00.783Z] GET http://localhost:5173/src/App.tsx?t=1774194240699 → 200 (8ms, 10965B)
[2026-03-22T15:44:00.814Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (4ms, ?B)
[2026-03-22T15:44:00.814Z] GET http://localhost:5173/api/contact → 500 (4ms, ?B)
[2026-03-22T15:44:00.814Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (3ms, ?B)
[2026-03-22T15:44:00.814Z] GET http://localhost:5173/api/contact → 500 (3ms, ?B)
[2026-03-22T15:44:05.564Z] GET http://localhost:5173/src/pages/PatientView.tsx?t=1774194245563 → 200 (87ms, 156619B)
[2026-03-22T15:44:05.564Z] GET http://localhost:5173/src/index.css?t=1774194245563 → 200 (81ms, 41361B)
[2026-03-22T15:44:05.651Z] GET http://localhost:5173/src/App.tsx?t=1774194245563 → 200 (8ms, 10965B)
[2026-03-22T15:44:05.680Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (6ms, ?B)
[2026-03-22T15:44:05.680Z] GET http://localhost:5173/api/contact → 500 (7ms, ?B)
[2026-03-22T15:44:05.680Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (3ms, ?B)
[2026-03-22T15:44:05.681Z] GET http://localhost:5173/api/contact → 500 (3ms, ?B)
[2026-03-22T15:44:05.683Z] GET http://localhost:5173/api/slots?date=2026-03-23 → 500 (9ms, ?B)
[2026-03-22T15:44:05.686Z] GET http://localhost:5173/api/slots?date=2026-03-23 → 500 (1ms, ?B)
[2026-03-22T15:44:05.687Z] GET http://localhost:5173/api/slots?date=2026-03-24 → 500 (6ms, ?B)
[2026-03-22T15:44:05.692Z] GET http://localhost:5173/api/slots?date=2026-03-24 → 500 (?ms, ?B)
[2026-03-22T15:44:05.692Z] GET http://localhost:5173/api/slots?date=2026-03-25 → 500 (?ms, ?B)
[2026-03-22T15:44:05.692Z] GET http://localhost:5173/api/slots?date=2026-03-26 → 500 (1ms, ?B)
[2026-03-22T15:44:05.693Z] GET http://localhost:5173/api/slots?date=2026-03-25 → 500 (?ms, ?B)
[2026-03-22T15:44:05.693Z] GET http://localhost:5173/api/slots?date=2026-03-27 → 500 (1ms, ?B)
[2026-03-22T15:44:05.693Z] GET http://localhost:5173/api/slots?date=2026-03-26 → 500 (1ms, ?B)
[2026-03-22T15:44:05.694Z] GET http://localhost:5173/api/slots?date=2026-03-28 → 500 (1ms, ?B)
[2026-03-22T15:44:05.694Z] GET http://localhost:5173/api/slots?date=2026-03-27 → 500 (1ms, ?B)
[2026-03-22T15:44:05.695Z] GET http://localhost:5173/api/slots?date=2026-03-29 → 500 (2ms, ?B)
[2026-03-22T15:44:05.695Z] GET http://localhost:5173/api/slots?date=2026-03-28 → 500 (2ms, ?B)
[2026-03-22T15:44:05.697Z] GET http://localhost:5173/api/slots?date=2026-03-30 → 500 (1ms, ?B)
[2026-03-22T15:44:05.697Z] GET http://localhost:5173/api/slots?date=2026-03-29 → 500 (1ms, ?B)
[2026-03-22T15:44:05.698Z] GET http://localhost:5173/api/slots?date=2026-03-31 → 500 (2ms, ?B)
[2026-03-22T15:44:05.698Z] GET http://localhost:5173/api/slots?date=2026-03-30 → 500 (2ms, ?B)
[2026-03-22T15:44:05.700Z] GET http://localhost:5173/api/slots?date=2026-04-01 → 500 (1ms, ?B)
[2026-03-22T15:44:05.700Z] GET http://localhost:5173/api/slots?date=2026-03-31 → 500 (2ms, ?B)
[2026-03-22T15:44:05.701Z] GET http://localhost:5173/api/slots?date=2026-04-02 → 500 (3ms, ?B)
[2026-03-22T15:44:05.702Z] GET http://localhost:5173/api/slots?date=2026-04-01 → 500 (2ms, ?B)
[2026-03-22T15:44:05.704Z] GET http://localhost:5173/api/slots?date=2026-04-03 → 500 (1ms, ?B)
[2026-03-22T15:44:05.705Z] GET http://localhost:5173/api/slots?date=2026-04-02 → 500 (?ms, ?B)
[2026-03-22T15:44:05.705Z] GET http://localhost:5173/api/slots?date=2026-04-04 → 500 (1ms, ?B)
[2026-03-22T15:44:05.705Z] GET http://localhost:5173/api/slots?date=2026-04-03 → 500 (4ms, ?B)
[2026-03-22T15:44:05.709Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (?ms, ?B)
[2026-03-22T15:44:05.709Z] GET http://localhost:5173/api/slots?date=2026-04-04 → 500 (2ms, ?B)
[2026-03-22T15:44:53.446Z] GET http://localhost:5173/src/pages/PatientView.tsx?t=1774194293444 → pending (?ms, ?B)
[2026-03-22T15:44:53.446Z] GET http://localhost:5173/src/index.css?t=1774194293444 → pending (?ms, ?B)
[2026-03-22T15:44:53.505Z] GET http://localhost:5173/src/App.tsx?t=1774194293444 → 200 (5ms, 10965B)
[2026-03-22T15:44:53.531Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (4ms, ?B)
[2026-03-22T15:44:53.531Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (2ms, ?B)
[2026-03-22T15:44:53.531Z] GET http://localhost:5173/api/contact → 500 (3ms, ?B)
[2026-03-22T15:44:53.535Z] GET http://localhost:5173/api/slots?date=2026-03-23 → 500 (1ms, ?B)
[2026-03-22T15:44:53.536Z] GET http://localhost:5173/api/slots?date=2026-03-24 → 500 (1ms, ?B)
[2026-03-22T15:44:53.538Z] GET http://localhost:5173/api/slots?date=2026-03-25 → 500 (1ms, ?B)
[2026-03-22T15:44:53.539Z] GET http://localhost:5173/api/slots?date=2026-03-26 → 500 (2ms, ?B)
[2026-03-22T15:44:53.541Z] GET http://localhost:5173/api/slots?date=2026-03-27 → 500 (1ms, ?B)
[2026-03-22T15:44:53.542Z] GET http://localhost:5173/api/slots?date=2026-03-28 → 500 (1ms, ?B)
[2026-03-22T15:44:53.544Z] GET http://localhost:5173/api/slots?date=2026-03-29 → 500 (1ms, ?B)
[2026-03-22T15:44:53.545Z] GET http://localhost:5173/api/slots?date=2026-03-30 → 500 (1ms, ?B)
[2026-03-22T15:44:53.547Z] GET http://localhost:5173/api/slots?date=2026-03-31 → 500 (1ms, ?B)
[2026-03-22T15:44:53.548Z] GET http://localhost:5173/api/slots?date=2026-04-01 → 500 (2ms, ?B)
[2026-03-22T15:44:53.550Z] GET http://localhost:5173/api/slots?date=2026-04-02 → 500 (1ms, ?B)
[2026-03-22T15:44:53.551Z] GET http://localhost:5173/api/slots?date=2026-04-03 → 500 (1ms, ?B)
[2026-03-22T15:44:53.552Z] GET http://localhost:5173/api/slots?date=2026-04-04 → 500 (2ms, ?B)
[2026-03-22T15:45:22.484Z] GET http://localhost:5173/src/pages/PatientView.tsx?t=1774194322478 → pending (?ms, ?B)
[2026-03-22T15:45:22.485Z] GET http://localhost:5173/src/index.css?t=1774194322478 → pending (?ms, ?B)
[2026-03-22T15:45:22.560Z] GET http://localhost:5173/src/App.tsx?t=1774194322478 → 200 (6ms, 10965B)
[2026-03-22T15:45:22.586Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (6ms, ?B)
[2026-03-22T15:45:22.586Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (5ms, ?B)
[2026-03-22T15:45:22.586Z] GET http://localhost:5173/api/contact → 500 (6ms, ?B)
[2026-03-22T15:45:22.592Z] GET http://localhost:5173/api/slots?date=2026-03-23 → 500 (2ms, ?B)
[2026-03-22T15:45:22.594Z] GET http://localhost:5173/api/slots?date=2026-03-24 → 500 (1ms, ?B)
[2026-03-22T15:45:22.596Z] GET http://localhost:5173/api/slots?date=2026-03-25 → 500 (1ms, ?B)
